engine,decision,seed,success,timed_out,failure,tile_kl,edge_kl,runtime_seconds,solve_seconds,conflicts,decisions,backtracks,restarts,error
ordinary WFC,context,27,True,False,False,1.2117827590935981,1.5939510469638136,0.5727798279999945,,,349,0,0,
WFC-as-SAT,context,27,True,False,False,2.63399029287469,2.7579887819307283,3.258399288999982,0.24120199999999992,1,381,1,0,
ordinary WFC,frequency,28,True,False,False,0.18648924340037118,1.6005758950774425,0.6495075260000078,,,383,0,0,
WFC-as-SAT,frequency,28,True,False,False,0.17008345208477746,1.6224332062412536,3.326783032999998,0.27437299999999976,235,628,235,0,
ordinary WFC,context,28,True,False,False,0.35856869074636666,0.5250960765225371,0.6002061019999871,,,364,0,0,
WFC-as-SAT,context,28,True,False,False,0.3333112884151635,0.464359843722423,3.287429790999994,0.24587499999999984,14,377,14,0,
ordinary WFC,frequency,29,True,False,False,0.16696231446137236,1.6568863891112546,0.6396262510000099,,,376,0,0,
WFC-as-SAT,frequency,29,True,False,False,0.20224600184224176,1.7279066222882715,3.3134841080000115,0.26413699999999984,200,584,200,0,
ordinary WFC,context,29,True,False,False,0.3148334277907578,0.4382482090019041,0.6178578020000032,,,354,0,0,
WFC-as-SAT,context,29,True,False,False,0.8337073396875727,1.0928429259129426,3.5294577720000007,0.47048200000000007,131,730,132,1,
ordinary WFC,frequency,30,True,False,False,0.1960440740940745,1.4852571143245907,0.6459637440000279,,,377,0,0,
WFC-as-SAT,frequency,30,True,False,False,0.15669519682162217,1.661714979912893,3.3102827540000135,0.2686280000000001,211,594,211,0,
ordinary WFC,context,30,True,False,False,0.25685332178595766,0.5368368776332689,0.6438906249999832,,,363,0,0,
WFC-as-SAT,context,30,True,False,False,0.3856593521101155,0.5867783867938491,3.2877919969999994,0.26040300000000016,45,402,45,0,
ordinary WFC,frequency,31,True,False,False,0.17756099070394085,1.54258845102081,0.6634716259999891,,,384,0,0,
WFC-as-SAT,frequency,31,True,False,False,0.2263921581642353,1.5952493221882906,3.317699131999973,0.26642100000000024,200,592,200,0,
ordinary WFC,context,31,True,False,False,0.6087867933342751,0.7862631277741156,0.5896276980000152,,,356,0,0,
WFC-as-SAT,context,31,True,False,False,0.4937006034792969,0.6740608477832636,3.2598883840000212,0.2442120000000001,12,367,12,0,
ordinary WFC,frequency,32,True,False,False,0.17817347737137562,1.752110919765157,0.6432014780000372,,,385,0,0,
WFC-as-SAT,frequency,32,True,False,False,0.18565461201485614,1.6849336006424318,3.8534256469999946,0.7978290000000001,586,1581,597,11,
ordinary WFC,context,32,True,False,False,0.45618804915010464,0.618736798308299,0.6649980809999647,,,371,0,0,
WFC-as-SAT,context,32,True,False,False,0.3190727027805468,0.46403091176875716,3.26013849200001,0.24715900000000013,5,375,5,0,
ordinary WFC,frequency,33,True,False,False,0.16648832714450326,1.6057594407060143,0.6565630730000294,,,386,0,0,
WFC-as-SAT,frequency,33,True,False,False,0.1720933311151686,1.7119966899991321,3.5815189799999985,0.5114490000000003,360,1018,361,1,
ordinary WFC,context,33,True,False,False,0.37343479811753216,0.5962987414199048,0.6028202499999793,,,339,0,0,
WFC-as-SAT,context,33,True,False,False,0.813968204040032,1.1044747603994416,3.3152487350000115,0.295658,110,469,110,0,
ordinary WFC,frequency,34,True,False,False,0.16089462331577015,1.6273077556906772,0.6455395579999958,,,373,0,0,
WFC-as-SAT,frequency,34,True,False,False,0.17140755239418273,1.6173105809754473,3.5130377550000276,0.485004,325,927,326,1,
ordinary WFC,context,34,True,False,False,0.47580466308435176,0.5819331388718212,0.5937503139999762,,,331,0,0,
WFC-as-SAT,context,34,True,False,False,0.3533745420580303,0.4605369128452448,3.2650090749999663,0.2346569999999999,0,350,0,0,
ordinary WFC,frequency,35,True,False,False,0.19656823743715218,1.8070733133255068,0.6489015739999786,,,376,0,0,
WFC-as-SAT,frequency,35,True,False,False,0.1933989269363953,1.869486607146003,3.5181676180000068,0.47992500000000016,301,897,303,2,
ordinary WFC,context,35,True,False,False,0.46344832762301186,0.6424585303167039,0.6363668619999885,,,375,0,0,
WFC-as-SAT,context,35,True,False,False,0.6304080739381414,0.7713068375148461,3.2837151120000385,0.2529880000000002,12,386,12,0,
ordinary WFC,frequency,36,True,False,False,0.18039987307027708,1.4859660118551066,0.6814135609999994,,,387,0,0,
WFC-as-SAT,frequency,36,True,False,False,0.16916382902631782,1.706800275001115,3.6514704269999925,0.6159070000000004,425,1165,430,5,
ordinary WFC,context,36,True,False,False,0.9591876677803257,1.25307792972804,0.6079007460000412,,,343,0,0,
WFC-as-SAT,context,36,True,False,False,0.3078957273862709,0.48832988361431634,3.2957246330000203,0.248707,13,375,13,0,
ordinary WFC,frequency,37,True,False,False,0.18883576879802302,1.684517821351154,0.67701901800001,,,388,0,0,
WFC-as-SAT,frequency,37,True,False,False,0.20245507707906216,1.6382915916596608,3.314088964000007,0.26204099999999997,190,577,190,0,
ordinary WFC,context,37,True,False,False,0.33582724989505564,0.5028658496874467,0.6410311729999876,,,367,0,0,
WFC-as-SAT,context,37,True,False,False,0.314975759284588,0.46793536654617424,3.287743779999971,0.24405800000000033,4,362,4,0,
ordinary WFC,frequency,38,True,False,False,0.1607324792147296,1.843438363133271,0.6748600860000238,,,386,0,0,
WFC-as-SAT,frequency,38,True,False,False,0.16560227624111645,1.7375212329128498,3.2904402130000108,0.27028700000000017,213,601,213,0,
ordinary WFC,context,38,True,False,False,0.4868797916132485,0.6553049453274422,0.5802857309999467,,,332,0,0,
WFC-as-SAT,context,38,True,False,False,0.38693509592493547,0.5253369310545143,3.2800591320000194,0.24411099999999974,11,372,11,0,
ordinary WFC,frequency,39,True,False,False,0.19007787190238054,1.82294762016556,0.6375835590000065,,,373,0,0,
WFC-as-SAT,frequency,39,True,False,False,0.195713242289512,1.7372980691217526,4.125571095999987,1.0654350000000004,667,2120,676,9,
ordinary WFC,context,39,True,False,False,1.015661095072787,1.3198019869460749,0.5607060849999925,,,365,0,0,
WFC-as-SAT,context,39,True,False,False,0.8376323802341903,1.0716349238573017,3.305375166000033,0.27920100000000003,94,445,94,0,
ordinary WFC,frequency,40,True,False,False,0.17981875978617157,1.7210812585766326,0.6730745520000028,,,383,0,0,
WFC-as-SAT,frequency,40,True,False,False,0.21671948249339268,1.707502139858755,4.484783157999971,1.4402150000000002,919,2872,943,24,
ordinary WFC,context,40,True,False,False,0.5823290943855683,0.7203091662361812,0.643182104999994,,,361,0,0,
WFC-as-SAT,context,40,True,False,False,0.4054224160292411,0.5186431385310674,3.269827407999969,0.2420960000000001,5,365,5,0,
ordinary WFC,frequency,41,True,False,False,0.17202057055006853,1.6405868947081208,0.6610868399999958,,,378,0,0,
WFC-as-SAT,frequency,41,True,False,False,0.19131017299145475,1.583464711389999,3.6547719720000487,0.6084989999999997,409,1191,412,3,
ordinary WFC,context,41,True,False,False,0.4905815252213123,0.6830008138248274,0.5893521010000313,,,330,0,0,
WFC-as-SAT,context,41,True,False,False,1.1778896492219117,1.3999391643702357,3.3319803819999834,0.2870160000000004,73,448,73,0,
ordinary WFC,frequency,42,True,False,False,0.16034783688615217,1.7523242994710029,0.6473093270000163,,,382,0,0,
WFC-as-SAT,frequency,42,True,False,False,0.12733244445198963,1.638810020628816,6.129919930000028,3.226422,1966,6117,2034,67,
ordinary WFC,context,42,True,False,False,0.43786913167245234,0.5630686300624869,0.6073794129999897,,,358,0,0,
WFC-as-SAT,context,42,True,False,False,0.48373261436913834,0.5953825251441573,3.278832453000007,0.2421789999999997,0,361,0,0,
ordinary WFC,frequency,43,True,False,False,0.18574461832541678,1.7495048903894055,0.6816692790000047,,,388,0,0,
WFC-as-SAT,frequency,43,True,False,False,0.21571175138740456,1.5979809979247703,3.5779675170000473,0.5372149999999998,368,1024,371,3,
ordinary WFC,context,43,True,False,False,0.5026009296433496,0.7119901749092076,0.6028288729999645,,,349,0,0,
WFC-as-SAT,context,43,True,False,False,0.3980095387560765,0.5128930249576974,3.306444656999986,0.24990999999999985,5,365,5,0,
ordinary WFC,frequency,44,True,False,False,0.18478372228311146,1.7155507835928667,0.6563796369999864,,,380,0,0,
WFC-as-SAT,frequency,44,True,False,False,0.1810760161758834,1.7615430580195834,3.3082646980000163,0.2748680000000001,224,615,224,0,
ordinary WFC,context,44,True,False,False,0.7172186321209272,1.0309345704897925,0.5391816409999706,,,311,0,0,
WFC-as-SAT,context,44,True,False,False,0.3985731812991422,0.6192121243134479,3.5210928879999983,0.495355,146,739,148,2,
ordinary WFC,frequency,45,True,False,False,0.16413110744556184,1.3922283158782784,0.6404141109999841,,,364,0,0,
WFC-as-SAT,frequency,45,True,False,False,0.1831509539527002,1.549935804190005,4.235084857999993,1.1809699999999999,833,2396,844,11,
ordinary WFC,context,45,True,False,False,0.42160355099554647,0.5594558606718407,0.6145003410000527,,,348,0,0,
WFC-as-SAT,context,45,True,False,False,0.4897135606922083,0.6464054913323878,3.2882415349999974,0.24132100000000012,38,366,38,0,
ordinary WFC,frequency,46,True,False,False,0.16778747024599547,1.6278252760188672,0.6517034949999925,,,375,0,0,
WFC-as-SAT,frequency,46,True,False,False,0.16406558457782186,1.630702736515895,7.104933768999956,4.217259,2912,8923,2928,15,
ordinary WFC,context,46,True,False,False,0.32501641421592253,0.5712563486275632,0.610569259999977,,,331,0,0,
WFC-as-SAT,context,46,True,False,False,0.2936001153952335,0.426466165249162,3.611636221000026,0.5843260000000003,102,884,104,2,
ordinary WFC,frequency,47,True,False,False,0.15330965966412602,1.507249331687576,0.6591260900000293,,,379,0,0,
WFC-as-SAT,frequency,47,True,False,False,0.19304906336116198,1.7145808440027352,3.265094384000008,0.2457290000000001,149,536,149,0,
ordinary WFC,context,47,True,False,False,0.26303468262637414,0.4406481881074165,0.5976722699999755,,,350,0,0,
WFC-as-SAT,context,47,True,False,False,0.5775332656597593,0.7393682901612154,3.310743171000013,0.263725,44,415,44,0,
ordinary WFC,frequency,48,True,False,False,0.16525109655501824,1.6336403050100279,0.637953055999958,,,376,0,0,
WFC-as-SAT,frequency,48,True,False,False,0.19882747742030626,1.6147493658127627,3.5196761860000265,0.46683600000000025,362,888,363,1,
ordinary WFC,context,48,True,False,False,0.3666000548405704,0.4921529386488634,0.6207484949999866,,,357,0,0,
WFC-as-SAT,context,48,True,False,False,0.6827241269663276,0.821126571198241,3.276799880999988,0.2524599999999997,10,379,10,0,
ordinary WFC,frequency,49,True,False,False,0.21522971530222332,1.661857283579161,0.6806179760000077,,,389,0,0,
WFC-as-SAT,frequency,49,True,False,False,0.19147011729303923,1.6670231201676375,3.319830550000006,0.2568250000000001,172,561,172,0,
ordinary WFC,context,49,True,False,False,0.4293619252699991,0.5708113211741295,0.592041193,,,362,0,0,
WFC-as-SAT,context,49,True,False,False,0.40597062228730424,0.5452421658564506,3.283631153999977,0.24758699999999978,0,378,0,0,
ordinary WFC,frequency,50,True,False,False,0.17528224638177714,1.6500046614904165,0.6620797179999727,,,382,0,0,
WFC-as-SAT,frequency,50,True,False,False,0.17051591385163986,1.6831313557975478,3.5917260890000193,0.49840399999999985,334,947,336,2,
ordinary WFC,context,50,True,False,False,0.6956443482461321,0.8670085007892597,0.669290521999983,,,359,0,0,
WFC-as-SAT,context,50,True,False,False,0.7807267355026131,0.9918028071598928,3.7543705279999813,0.702213,114,1059,116,2,
ordinary WFC,frequency,51,True,False,False,0.20738032017360322,1.6419073993707465,0.6778335920000131,,,377,0,0,
WFC-as-SAT,frequency,51,True,False,False,0.18068048159079925,1.6863170111269534,3.6623854179999853,0.5295460000000003,512,1027,513,1,
ordinary WFC,context,51,True,False,False,0.6715123510501908,0.9233836079989008,0.5873749539999835,,,347,0,0,
WFC-as-SAT,context,51,True,False,False,0.5728383172550888,0.8587868086560942,3.3127811690000044,0.26966999999999963,62,413,62,0,
ordinary WFC,frequency,52,True,False,False,0.1754227548465644,1.7224927825422214,0.6704529550000302,,,384,0,0,
WFC-as-SAT,frequency,52,True,False,False,0.23258277088858065,1.6495190442570484,3.7145780129999935,0.645092,471,1301,473,2,
ordinary WFC,context,52,True,False,False,0.5894760815601412,0.7643771689817768,0.6563808969999627,,,372,0,0,
WFC-as-SAT,context,52,True,False,False,0.7386917975990271,0.9636784182386998,3.2976731520000158,0.24484700000000004,5,355,5,0,
ordinary WFC,frequency,53,True,False,False,0.22444562333860005,1.5289648380381586,0.6855754009999941,,,389,0,0,
WFC-as-SAT,frequency,53,True,False,False,0.17215603185472422,1.605225617492253,3.417307823999977,0.26100999999999974,200,590,200,0,
ordinary WFC,context,53,True,False,False,0.7463633595297915,0.9852605186121111,0.5989786490000029,,,356,0,0,
WFC-as-SAT,context,53,True,False,False,1.4074566606180763,1.7132918506699888,3.267485910000005,0.26551400000000025,81,413,81,0,
ordinary WFC,frequency,54,True,False,False,0.19547470610749246,1.7240443918234623,0.6631334159999938,,,387,0,0,
WFC-as-SAT,frequency,54,True,False,False,0.1990778716375621,1.53099134064921,3.2377739469999938,0.2786120000000001,242,633,242,0,
ordinary WFC,context,54,True,False,False,0.4618931182315956,0.734875405641941,0.6482736479999858,,,351,0,0,
WFC-as-SAT,context,54,True,False,False,0.500845355327166,0.7234426803793823,3.3064032689999863,0.23831299999999978,17,358,17,0,
ordinary WFC,frequency,55,True,False,False,0.22050642930625286,1.6273695655960414,0.7432007410000097,,,386,0,0,
WFC-as-SAT,frequency,55,True,False,False,0.15372234370845803,1.7052646866568772,3.315670302000001,0.26564500000000013,217,601,217,0,
ordinary WFC,context,55,True,False,False,0.4285815759442206,0.5854608622488842,0.8962070210000093,,,366,0,0,
WFC-as-SAT,context,55,True,False,False,0.41665636974025705,0.5667348457842967,4.614658285000019,0.2600739999999999,61,407,61,0,
ordinary WFC,frequency,56,True,False,False,0.15444072708274018,1.6891618725698743,0.6506409099999928,,,380,0,0,
WFC-as-SAT,frequency,56,True,False,False,0.19255938736465572,1.469012649529829,3.6040725579999844,0.2792950000000003,271,650,271,0,
ordinary WFC,context,56,True,False,False,0.7443378488704099,0.9862804080404889,0.6008859789999974,,,326,0,0,
WFC-as-SAT,context,56,True,False,False,0.4863437760019398,0.6427596177141447,3.317417603000024,0.2344339999999998,1,354,1,0,
