example,N,engine,heuristic,seed,success,pattern_frequency_kl,pattern_edge_frequency_kl,decoded_tile_frequency_kl,decoded_tile_edge_frequency_kl,runtime_seconds,conflicts,backtracks
Stick,1,ordinary WFC,frequency,26,True,0.00033801663695705135,0.10272420282099758,0.00033801663695705135,0.10272420282099758,0.09403539800000082,,0
Stick,1,WFC-as-SAT,frequency,26,True,0.00033801663695705135,0.10272420282099758,0.00033801663695705135,0.10272420282099758,0.09271231900000032,0,0
Stick,1,ordinary WFC,context,26,True,0.013432245279568454,0.011896167062456994,0.013432245279568454,0.011896167062456994,0.09232137499999915,,0
Stick,1,WFC-as-SAT,context,26,True,0.013432245279568454,0.011896167062456994,0.013432245279568454,0.011896167062456994,0.09452899999999964,0,0
Stick,1,ordinary WFC,uniform,27,True,0.20980332494572151,0.5242023187849754,0.20980332494572151,0.5242023187849754,0.07256295900000076,,0
Stick,1,WFC-as-SAT,uniform,27,True,0.20980332494572151,0.5242023187849754,0.20980332494572151,0.5242023187849754,0.07611070099999928,0,0
Stick,1,ordinary WFC,frequency,27,True,0.0005797540099439884,0.0869056540249211,0.0005797540099439884,0.0869056540249211,0.09275226199999942,,0
Stick,1,WFC-as-SAT,frequency,27,True,0.0005797540099439884,0.0869056540249211,0.0005797540099439884,0.0869056540249211,0.09308333299999916,0,0
Stick,1,ordinary WFC,context,27,True,0.029359593973328824,0.028766482343558705,0.029359593973328824,0.028766482343558705,0.09314971900000124,,0
Stick,1,WFC-as-SAT,context,27,True,0.029359593973328824,0.028766482343558705,0.029359593973328824,0.028766482343558705,0.09334302600000122,0,0
Stick,1,ordinary WFC,uniform,28,True,0.18024854881566196,0.5238252674821547,0.18024854881566196,0.5238252674821547,0.074084869,,0
Stick,1,WFC-as-SAT,uniform,28,True,0.18024854881566196,0.5238252674821547,0.18024854881566196,0.5238252674821547,0.0770327489999989,0,0
Stick,1,ordinary WFC,frequency,28,True,0.002214503517879541,0.07784960031410358,0.002214503517879541,0.07784960031410358,0.09589913299999964,,0
Stick,1,WFC-as-SAT,frequency,28,True,0.002214503517879541,0.07784960031410358,0.002214503517879541,0.07784960031410358,0.09527852699999961,0,0
Stick,1,ordinary WFC,context,28,True,0.003304981867583226,0.0019632752020612414,0.003304981867583226,0.0019632752020612414,0.09620245600000032,,0
Stick,1,WFC-as-SAT,context,28,True,0.003304981867583226,0.0019632752020612414,0.003304981867583226,0.0019632752020612414,0.10121481300000035,0,0
Stick,1,ordinary WFC,uniform,29,True,0.19850932210496255,0.546945138123483,0.19850932210496255,0.546945138123483,0.071456873999999,,0
Stick,1,WFC-as-SAT,uniform,29,True,0.19850932210496255,0.546945138123483,0.19850932210496255,0.546945138123483,0.07558154700000053,0,0
Stick,1,ordinary WFC,frequency,29,True,0.00011402782215475318,0.08161403598463171,0.00011402782215475318,0.08161403598463171,0.09430976700000038,,0
Stick,1,WFC-as-SAT,frequency,29,True,0.00011402782215475318,0.08161403598463171,0.00011402782215475318,0.08161403598463171,0.0929016530000002,0,0
Stick,1,ordinary WFC,context,29,True,0.00033801663695705135,0.0019478402148566751,0.00033801663695705135,0.0019478402148566751,0.09721533999999998,,0
Stick,1,WFC-as-SAT,context,29,True,0.00033801663695705135,0.0019478402148566751,0.00033801663695705135,0.0019478402148566751,0.09802388000000128,0,0
Stick,1,ordinary WFC,uniform,30,True,0.20980332494572151,0.6422466693356961,0.20980332494572151,0.6422466693356961,0.07265466900000206,,0
Stick,1,WFC-as-SAT,uniform,30,True,0.20980332494572151,0.6422466693356961,0.20980332494572151,0.6422466693356961,0.07742381699999967,0,0
Stick,1,ordinary WFC,frequency,30,True,0.008480424534837615,0.08653642506569105,0.008480424534837615,0.08653642506569105,0.09793555199999915,,0
Stick,1,WFC-as-SAT,frequency,30,True,0.008480424534837615,0.08653642506569105,0.008480424534837615,0.08653642506569105,0.09543003299999953,0,0
Stick,1,ordinary WFC,context,30,True,0.00011402782215475318,0.004389462951364231,0.00011402782215475318,0.004389462951364231,0.10086460499999816,,0
Stick,1,WFC-as-SAT,context,30,True,0.00011402782215475318,0.004389462951364231,0.00011402782215475318,0.004389462951364231,0.09975185000000053,0,0
Stick,1,ordinary WFC,uniform,31,True,0.17314368881994222,0.49682605759870985,0.17314368881994222,0.49682605759870985,0.07389928399999945,,0
Stick,1,WFC-as-SAT,uniform,31,True,0.17314368881994222,0.49682605759870985,0.17314368881994222,0.49682605759870985,0.07732294399999873,0,0
Stick,1,ordinary WFC,frequency,31,True,0.003553287974391091,0.07969593134896395,0.003553287974391091,0.07969593134896395,0.09772807599999922,,0
Stick,1,WFC-as-SAT,frequency,31,True,0.003553287974391091,0.07969593134896395,0.003553287974391091,0.07969593134896395,0.09407937299999958,0,0
